Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,218.929993,222.990005,216.759995,222.149994,221.377563,29184000
2018-10-17,222.300003,222.639999,219.339996,221.190002,220.420914,22885400
2018-10-18,217.860001,219.740005,213.000000,216.020004,215.268890,32581300
2018-10-19,218.059998,221.259995,217.429993,219.309998,218.547455,33078700
2018-10-22,219.789993,223.360001,218.940002,220.649994,219.882782,28792100
2018-10-23,215.830002,223.250000,214.699997,222.729996,221.955551,38767800
2018-10-24,222.600006,224.229996,214.539993,215.089996,214.342117,40925500
2018-10-25,217.710007,221.380005,216.750000,219.800003,219.035751,29855800
2018-10-26,215.899994,220.190002,212.669998,216.300003,215.547913,47258400
2018-10-29,219.190002,219.690002,206.089996,212.240005,211.502045,45935500
2018-10-30,211.149994,215.179993,209.270004,213.300003,212.558350,36660000
2018-10-31,216.880005,220.449997,216.619995,218.860001,218.099014,38358900
2018-11-01,219.050003,222.360001,216.809998,222.220001,221.447327,58323200
2018-11-02,209.550003,213.649994,205.429993,207.479996,206.758575,91328700
2018-11-05,204.300003,204.389999,198.169998,201.589996,200.889053,66163700
2018-11-06,201.919998,204.720001,201.690002,203.770004,203.061493,31882900
2018-11-07,205.970001,210.059998,204.130005,209.949997,209.219986,33424400
2018-11-08,209.979996,210.119995,206.750000,208.490005,208.490005,25362600
2018-11-09,205.550003,206.009995,202.250000,204.470001,204.470001,34365800
2018-11-12,199.000000,199.850006,193.789993,194.169998,194.169998,51135500
2018-11-13,191.630005,197.179993,191.449997,192.229996,192.229996,46882900
2018-11-14,193.899994,194.479996,185.929993,186.800003,186.800003,60653900
2018-11-15,188.389999,191.970001,186.899994,191.410004,191.410004,42470148
